person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,day,room_type_Private room,room_type_Shared room,realSum
0.0,False,1.0,0.0,0.25,0.125,0.125,0.4303894431823458,0.3076553426852412,0.2944694241818799,0.0,False,False,0.2557659509066494
0.5,False,1.0,0.0,1.0,1.0,0.25,0.4551080815600722,0.1087208121760338,0.2665406160003329,0.0,False,False,0.4400811537281824
0.25,False,1.0,0.0,0.625,0.625,0.0,0.4273953671268024,0.3335553270694501,0.2629075512089787,0.0,False,False,0.273903615550818
0.0,False,0.0,1.0,0.875,0.8875,0.125,0.2573487529564657,0.0463941769282737,0.4658024901561617,1.0,True,False,0.196326302885171
0.0,False,0.0,1.0,0.625,0.6625000000000001,0.125,0.1855075076417021,0.0265191392993077,0.5478811104167187,0.0,False,False,0.301459052033553
0.0,False,0.0,1.0,0.875,0.9125,0.125,0.4742339363459172,0.1064984840697347,0.2712085992649338,1.0,True,False,0.2456677731920917
0.0,False,1.0,0.0,0.875,0.8375000000000001,0.125,0.1842589876111487,0.0302627299068438,0.5788644134537566,0.0,True,False,0.357431904366342
0.5,False,0.0,0.0,1.0,1.0,0.25,0.2865699310502563,0.054258876103691,0.3774441129166803,0.0,False,False,0.304604088647333
0.0,False,0.0,1.0,0.875,0.7875000000000001,0.125,0.2691245989522707,0.0643879988101317,0.4970564297491773,0.0,True,False,0.1682743413758333
0.5,False,1.0,0.0,1.0,1.0,0.25,0.1093671727591014,0.0463331630271532,0.6736644665878315,1.0,False,False,0.3966410056506132
0.0,False,1.0,0.0,0.875,0.875,0.1666666666666666,0.4270046115430788,0.2664872207790827,0.2251072282035053,0.0,True,False,0.3081417275473511
0.0,True,0.0,0.0,1.0,0.975,0.1666666666666666,0.1255424961052746,0.0877072778131143,0.5545248668025446,1.0,True,False,0.2246465522362516
0.0,False,0.0,1.0,0.875,0.8625,0.125,0.0210723926533816,0.0114206232850496,0.8647929954776341,0.0,True,False,0.2974124304118596
0.0,False,1.0,0.0,0.875,0.875,0.125,0.0921207543364344,0.044976012753481,0.6695345964817969,0.0,False,False,0.4211688995422605
