person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,day,room_type_Private room,room_type_Shared room,realSum
0.5,False,0.0,1.0,1.0,0.9000000000000001,0.125,0.1083509316331174,0.0443600209687794,0.6841204193036674,1.0,True,False,0.2343570186517372
1.0,False,0.0,1.0,1.0,0.9500000000000002,0.25,0.2129030642648727,0.0366050606747725,0.5823567642054648,1.0,False,False,0.4767580671302637
0.0,False,1.0,0.0,0.875,0.7875000000000001,0.125,0.3525122368257061,0.092258406496591,0.3679373210164933,0.0,True,False,0.1589761268968252
0.0,False,0.0,1.0,1.0,0.9500000000000002,0.1666666666666666,0.2025288211033021,0.0701469287506,0.3864741473263109,0.0,True,False,0.2804185526406079
0.0,True,0.0,1.0,1.0,0.975,0.125,0.4201292682366218,0.2374269813658455,0.2615131323350501,0.0,True,False,0.1700190535187029
0.0,False,0.0,0.0,1.0,1.0,0.125,0.4610453319715145,0.5031635949487425,0.2497076906824993,0.0,True,False,0.1920334476056741
0.0,False,0.0,1.0,1.0,0.8875,0.1666666666666666,0.5261690221982905,0.1090118765290459,0.1671277742204036,1.0,True,False,0.3311664327201665
0.25,False,0.0,1.0,1.0,1.0,0.125,0.4405182264677714,0.1364257440421673,0.2519139335625129,1.0,False,False,0.2743863651066005
0.25,False,0.0,0.0,1.0,1.0,0.125,0.2667297875267204,0.0560106547653787,0.4681790689600151,1.0,False,False,0.3769490200827309
0.0,False,0.0,1.0,1.0,1.0,0.125,0.0981464242143708,0.0392333514916853,0.6774162961617187,0.0,False,False,0.4502686956754068
0.0,True,1.0,0.0,1.0,0.9375,0.125,0.2959533296010805,0.0128899212288376,0.4343200754975098,1.0,True,False,0.2983976832608183
0.0,False,0.0,0.0,1.0,1.0,0.125,0.2302112749586258,0.0508424171844027,0.4478461077392823,1.0,False,False,0.35773356308094
0.5,False,0.0,1.0,0.75,1.0,0.25,0.096118666656004,0.0276956047151945,0.700420606670594,0.0,True,False,0.3884676236138268
0.0,False,1.0,0.0,1.0,0.9625,0.125,0.2781676552202505,0.0566389941438008,0.3857229085507285,1.0,True,False,0.2554086378279916
0.5,False,0.0,1.0,0.875,0.8125,0.25,0.3178772323611283,0.0129633853649297,0.3930655278338482,0.0,False,False,0.473857675915626
0.0,False,0.0,1.0,0.875,0.8875,0.125,0.1403598524861508,0.0184936735243735,0.5986269127657993,0.0,True,False,0.2125289352735129
0.0,False,0.0,1.0,0.875,0.8500000000000001,0.125,0.2117215915558311,0.0367791759156027,0.5224304162141122,1.0,True,False,0.1930529141249251
0.0,False,1.0,0.0,0.875,0.8875,0.1666666666666666,0.4389826975692154,0.1317776185033819,0.3755146223255601,1.0,True,False,0.109501165307445
1.0,False,0.0,1.0,0.875,0.7875000000000001,0.3333333333333333,0.1221059990585089,0.0415632027832997,0.4168822522110209,1.0,False,False,0.3879908627014211
0.0,False,0.0,1.0,1.0,1.0,0.125,0.2944102215794428,0.0872280183167842,0.396986367943378,0.0,True,False,0.2343570186517372
0.5,True,0.0,0.0,1.0,0.975,0.25,0.2742413754262705,0.0862346400636611,0.4480437943587629,0.0,False,False,0.4007878917044317
0.0,True,0.0,0.0,1.0,0.9375,0.125,0.246625844541005,0.0408850341171763,0.5359708154877598,1.0,True,False,0.3308852219345225
0.75,False,0.0,1.0,1.0,0.875,0.25,0.2460218869814303,0.0393106329832121,0.5358251636383249,0.0,False,False,0.5423585324133281
0.0,False,0.0,1.0,1.0,0.925,0.125,0.1327730178198968,0.0209737386708459,0.6580795890755082,0.0,True,False,0.4131922420247494
0.0,False,1.0,0.0,0.875,0.875,0.1666666666666666,0.123390676214181,0.0349069038525745,0.4690288590522902,0.0,True,False,0.1055532308386048
0.25,False,0.0,1.0,0.75,0.825,0.125,0.2650988500993985,0.0637656635377844,0.5052062923544016,0.0,True,False,0.2235645371255457
0.5,False,0.0,1.0,0.75,0.75,0.125,0.3033990707383516,0.0418157913751273,0.3834693613399687,1.0,True,False,0.3075611075735914
0.0,True,0.0,0.0,1.0,0.975,0.125,0.3498976923865026,0.2671963189037526,0.3320172686359879,0.0,True,False,0.1539793960592688
0.0,True,0.0,0.0,1.0,0.9875,0.125,0.4832348577588703,0.0604325223477869,0.220989747774895,1.0,True,False,0.1331678261903072
0.75,False,0.0,1.0,0.875,0.75,0.125,0.3140461522906373,0.0424364473613298,0.3958702161310317,0.0,True,False,0.1773873121075094
0.75,False,0.0,1.0,0.875,0.9000000000000001,0.25,0.3112446927928383,0.2532698475753256,0.3621469638436314,1.0,False,False,0.3679809865104889
0.0,False,0.0,0.0,0.875,0.9625,0.125,0.3459950378886811,0.1752007119943371,0.3234318745754712,0.0,True,False,0.1617261651634972
0.5,True,0.0,1.0,1.0,0.975,0.125,0.2037654024927704,0.0509423961263926,0.514106956625408,0.0,True,False,0.3461086049346332
0.0,False,0.0,0.0,0.875,0.8625,0.1666666666666666,0.481234248355684,0.1450679942294921,0.2058161343176692,0.0,True,False,0.2070391770800189
